BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
X - 25109,,,,0.7826,0.602,0.4854,0.771,0.83,0.3171,0.4551,0.7288,0.7154,0.8009,1.1611,2.1164,0.335,2.0034,0.06,0.0173,0.0703,0.0878,0.0506,0.0173,0.0173,0.0173,0.0173,0.0173
X - 25164,,,,7.7541,2.7431,3.9441,15.3439,7.9937,2.4851,3.2198,7.0587,7.6187,7.3193,0.4987,1.7272,0.1895,0.8977,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329
X - 25180,,,,0.0085,0.0246,0.0388,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0918,0.0536,0.0922,0.1004,0.0765,0.0085,0.1572,0.1123,0.0455,0.0085,0.0085,0.0085,0.0085,0.0085
X - 25343,,,,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.1182,0.0573,0.0573,0.1694,0.7149,0.5969,1.2896,1.1638,3.9641,5.8593,3.2017,3.6756,4.2624,0.0573,0.0573,0.0573,0.0573,0.0573
X - 25546,,,,0.0217,0.0217,0.0217,0.0261,0.0217,0.0217,0.028,0.0217,0.0217,0.0217,0.9946,0.8546,1.4625,1.0054,2.1464,4.0874,1.5125,1.752,1.4424,0.0217,0.0217,0.0217,0.0217,0.0217
X - 25856,,,,0.0871,0.0871,0.0871,0.0871,0.0871,0.0871,0.0871,0.0871,0.0871,0.0871,0.1405,0.3277,0.2314,0.3689,0.718,0.7376,0.7811,0.8602,0.9579,0.0871,0.0871,0.0871,0.0871,0.0871
X - 25936,,,,0.1021,0.0959,0.068,0.0589,0.072,0.0562,0.0651,0.1691,0.1603,0.1536,0.6279,0.6253,1.7731,1.0867,2.6437,1.9329,3.1385,3.0728,2.8774,0.0046,0.0046,0.0135,0.0046,0.0046
X - 25948,,,,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274,2.9384,3.6961,3.9248,3.9184,4.5333,1.8486,4.3326,5.373,4.1182,0.1274,0.1274,0.1274,0.1274,0.1274
X - 25950,,,,13.3399,17.5887,14.1222,10.7693,15.27,20.2443,8.4137,16.7444,11.7156,13.4822,1.5559,4.4115,1.8423,1.628,0.6029,0.2192,0.7762,0.89,0.4371,0.1599,0.1599,0.1599,0.1599,0.1599
X - 25957,,,,2.9824,1.8819,2.0782,2.9246,2.373,2.0056,3.0637,3.6994,2.3009,2.6243,1.879,1.8696,1.3506,2.172,1.95,2.4223,1.8153,2.0387,1.6081,2.044,1.8855,2.8682,1.6054,2.2
X - 26064,,,,1.5689,1.3054,1.2158,2.0808,1.4606,1.6257,1.9183,2.3464,2.3237,3.0055,2.5623,3.8246,4.8058,4.199,19.4916,6.2461,15.3207,19.3328,15.5094,0.9308,0.846,0.8228,0.9479,0.9512
X - 26073,,,,1.3246,1.2851,1.1141,1.8648,1.4226,1.9007,2.204,1.9705,1.6185,2.9876,2.0784,2.7075,4.5103,2.401,13.2071,4.2844,10.9922,15.0052,10.7697,0.3347,0.4356,0.4265,0.1169,0.4562
X - 26076,,,,1.6317,1.683,1.3041,1.5833,1.1812,1.2713,1.7261,2.4238,1.9552,2.8656,1.8646,2.0462,3.9451,3.4729,12.0636,5.2277,13.5987,14.1353,13.0315,0.9421,0.8265,0.9202,0.7932,0.8956
X - 26086,,,,1.6491,1.2579,0.989,2.4411,1.3882,1.7667,1.8706,2.7447,2.2784,3.6516,2.7806,4.6419,5.9385,4.2323,13.3282,5.4294,14.0736,16.7231,12.6983,1.032,0.8399,0.9757,0.9128,0.8534
X - 26087,,,,0.6291,0.7141,0.8051,1.2096,0.9702,0.9643,1.621,1.9395,1.8284,2.0542,2.1606,3.5949,3.3947,4.51,27.5981,10.6368,23.8701,22.8637,27.0589,0.6903,0.69,0.9112,0.9164,0.9252
