BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
quinate,Xenobiotics,Food Component/Plant,C00296,1.6466,1.6342,1.761,1.903,1.9879,0.1497,0.9941,0.1497,1.3833,1.7859,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,3.3078
ribitol,Carbohydrate,Pentose Metabolism,"C00532,C01904,C00474,C00379",0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.9466,0.386,0.8236,2.1522,1.0625,3.1949,3.1429,2.4032,0.386,0.386,0.386,0.386,0.386
riboflavin (Vitamin B2),Cofactors and Vitamins,Riboflavin Metabolism,C00255,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.432,1.6884,2.6246,0.432,2.8193,0.4547,0.432,0.8094,0.432,0.432,0.432,0.432,0.432,0.432,0.432
ribonate,Carbohydrate,Pentose Metabolism,C01685,0.9952,0.4692,0.5798,1.171,0.7214,1.304,1.484,1.8994,1.6297,1.9209,3.6065,6.3819,3.3826,7.4459,7.931,1.0129,6.9165,7.5972,4.6804,0.1158,1.3032,0.1158,0.1158,0.1158
ribose,Carbohydrate,Pentose Metabolism,C00121,2.1326,1.9478,2.2164,1.1146,2.1494,0.2974,0.2974,0.871,1,0.2974,0.2974,0.2974,0.2974,0.2974,0.2974,0.2974,0.4121,0.2974,0.2974,0.2974,0.2974,0.2974,0.2974,0.2974
ribulose/xylulose,Carbohydrate,Pentose Metabolism,,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.1221,0.3835,1.0031,0.5744,0.9969,0.437,0.1221,1.36,1.5582,1.5014,0.1221,0.1221,0.1221,0.1221,0.1221
S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,C04322,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.4007,0.114,0.5856,0.114,0.8417,0.496,0.114,0.4553,0.114,0.114,0.1913,0.1893,0.114,0.114,0.114
S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",C00021,0.3725,0.3725,0.3725,0.3725,0.3725,0.3725,0.3725,0.3725,0.3725,0.3725,1.6283,2.6578,0.8448,2.7639,1.3535,0.4695,1.7353,1.9678,0.9372,0.3725,0.3725,0.3725,0.3725,0.3725
S-carboxyethylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,0.5799,0.4658,0.3197,1.0416,1.1199,0.5788,0.3852,0.9565,1.1559,1.1149,0.8261,1.4399,1.4441,1.6096,1.135,0.2796,0.9541,0.8499,1.8238,0.2796,0.2796,0.2796,0.2796,0.2796
S-carboxymethyl-L-cysteine,Xenobiotics,Drug - Other,C03727,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303,0.1303
